Onyomi,Radicals,% (of kanji having this radical) that have this onyomi,% (of kanji having this onyomi) that have this radical,Examples
卜田虍,ル,50,2.143,獹籚瓐矑纑
卜皿虍,ル,100,2.143,獹籚瓐矑纑
卜虍,キョ,29.412,12.5,歔虚虗簴虡
卜虍,リョ,35.294,6.25,爈藘櫖勴臚
卜虍,ル,35.294,2.143,獹籚瓐矑纑
厂田皿虍,ル,100,2.143,獹籚瓐矑纑
厂田虍,リョ,50,6.25,爈藘櫖勴臚
厂田虍,ル,50,2.143,獹籚瓐矑纑
厂皿虍,ル,100,2.143,獹籚瓐矑纑
厂虍,キョ,29.412,12.5,歔虚虗簴虡
厂虍,リョ,35.294,6.25,爈藘櫖勴臚
厂虍,ル,35.294,2.143,獹籚瓐矑纑
厂衣辰,シン,100,4.615,侲漘振曟莀
厂言,セン,100,2.484,幨瞻襜詹儋
厂辰,シン,100,4.615,侲漘振曟莀
厶寸虫,セン,100,1.553,磚竱嫥槫摶
厶彡,サン,100,0.525,嵾襂参傪毿
厶田預,リュウ,100,6.41,瘤留溜榴瑠
厶田鬼,キ,46.667,1.007,餽魌魕鬼媿
厶田鬼,カイ,53.333,0.97,塊隗傀瘣瑰
厶虫,セン,100,1.553,磚竱嫥槫摶
厶阡,イン,100,3.226,廕蔭陰隂癊
厶雨,ウン,100,25,蕓雲澐橒繧
厶預,リュウ,100,11.538,瘤留流溜榴
厶鬼,キ,46.667,1.007,餽魌魕鬼媿
厶鬼,カイ,53.333,0.97,塊隗傀瘣瑰
又日買,バン,100,14.286,曼幔謾墁槾
又皮,ヒ,100,11.628,彼皮被疲披
又目隹,カク,100,2.789,貜钁攫躩蠼
又耳,シュ,50,10.204,取娵娶聚緅
又耳,サイ,50,2.165,穝冣嘬最樶
又艾隹,カク,100,3.586,嚄彠檴獲鑊
又買,バン,100,14.286,曼幔謾墁槾
又隹,ワク,23.81,50,艧矱篗籆濩
又隹,カク,76.19,6.375,貜钁嚄彠檴
口,カ,26.667,7.407,何吪叚吓咖
口,シ,16.667,3.125,剚呞倳乨兘
口,ケン,16.667,1.866,剣剱劍劔倹
口,キョウ,23.333,2.318,哼叶冾况响
口,コウ,16.667,1.279,佮向吭匌哄
口士并豆,キ,100,1.871,嬉憘熹糦繥
口士豆,キ,100,2.014,嬉憘熹糦繥
口山并豆,カイ,100,0.848,榿皚凒剴塏
口山豆,カイ,100,0.848,榿皚凒剴塏
口并木門,ラン,100,10.204,爤欗攔瓓籣
口并癶豆,トウ,100,2.212,凳櫈嬁墱磴
口并豆,エン,12.821,4.545,灔豔艷豓灎
口并豆,トウ,28.205,4.867,凳櫈嬁瞪墱
口并豆,キ,41.026,2.302,嬉憘熹巇糦
口并豆,カイ,17.949,0.848,榿皚凒剴塏
口并門,ラン,100,10.204,爤欗攔瓓籣
口廾革,キン,100,5,厪廑殣斳慬
口廾龠,ヤク,100,0.951,龥鑰龠籲禴
口日,ショウ,100,0.708,晌嘈戧嶒傖
口日田,セン,100,1.863,嘽潬墠樿撣
口木,ソウ,100,13.158,臊嗓懆噪氉
口木目貝頁,ライ,100,1.613,頼瀬懶癩籟
口木目頁,ライ,100,1.613,頼瀬懶癩籟
口木貝頁,ライ,100,1.613,頼瀬懶癩籟
口木門,ラン,100,10.204,爤欗攔瓓籣
口木頁,ライ,100,1.613,頼瀬懶癩籟
口止足,キ,50,0.719,跪踦跽踑跂
口止足,ショウ,50,0.59,蹌蹡躞蹤蹭
口比,サン,100,0.63,毚儳欃劖攙
口田,トウ,45.455,2.212,畗襠擋璫墖
口田,セン,54.545,1.863,嘽潬墠樿撣
口癶豆,トウ,100,2.212,凳櫈嬁墱磴
口目虫貝,カイ,100,0.606,繢聵憒嘳蕢
口目貝,イン,41.176,4.516,殞傊磒愪溳
口目貝,キ,29.412,0.719,櫃樻貴瞶簣
口目貝,カイ,29.412,0.606,繢聵憒嘳蕢
口目貝頁,ライ,54.545,1.613,頼瀬懶癩籟
口目貝頁,カン,45.455,1.256,灝頜顑顴頷
口目頁,ライ,54.545,1.613,頼瀬懶癩籟
口目頁,カン,45.455,1.256,灝頜顑顴頷
口石,コウ,100,1.279,砿硬硄硡矼
口舌,テン,100,9.091,甜恬湉舔餂
口艾,トウ,100,2.212,菪瘩荅嗒搭
口艾隹,カン,100,2.513,爟瓘讙雚貛
口虫貝,カイ,100,0.606,繢聵憒嘳蕢
口衣,ショウ,100,0.708,儴蠰纕瓤蘘
口衣買,ケン,50,1.866,翾獧譞儇蠉
口衣買,カン,50,1.256,環繯懁擐寰
口謗,ショウ,100,0.59,吵唱創廠敞
口謗韋,イ,100,4.294,葦圍緯違瑋
口豆,エン,12.5,4.545,灔豔艷豓灎
口豆,トウ,27.5,4.867,凳櫈嬁瞪墱
口豆,キ,42.5,2.446,嬉憘熹巇糦
口豆,カイ,17.5,0.848,榿皚凒剴塏
口貝,イン,41.176,4.516,殞傊磒愪溳
口貝,キ,29.412,0.719,櫃樻貴瞶簣
口貝,カイ,29.412,0.606,繢聵憒嘳蕢
口貝頁,ライ,54.545,1.613,頼瀬懶癩籟
口貝頁,カン,45.455,1.256,灝頜顑顴頷
口買,ケン,58.333,2.612,翾獧羂罥譞
口買,カン,41.667,1.256,環繯懁擐寰
口足,サク,33.333,2.183,捉浞踖珿趵
口足,キ,33.333,0.719,跪踦跽踑跂
口足,ショウ,33.333,0.59,蹌蹡躞蹤蹭
口錡,ショウ,100,0.59,檣墻裳賞掌
口門,ラン,100,10.204,爤欗攔瓓籣
口隹,カク,33.333,1.992,嚄彠碓確躩
口隹,カン,66.667,2.513,爟瓘讙雚貛
口雨,リョウ,100,2.667,靈櫺醽孁龗
口革,キン,58.333,5,厪廑殣斳慬
口革,トウ,41.667,2.212,鞀鞉鞳鞱鞺
口韋,イ,100,10.429,幃葦闈韙圍
口頁,ライ,54.545,1.613,頼瀬懶癩籟
口頁,カン,45.455,1.256,灝頜顑顴頷
口預,ゴ,57.143,11.268,吾寤誤蜈悟
口預,カ,42.857,5.556,歌窩蝸柯枷
口高,カク,37.5,3.586,歊熇碻毃謞
口高,コウ,62.5,3.836,嚆高稾藁犒
口鬲,カク,100,1.992,鬲膈槅翮鎘
口龠,ヤク,100,0.951,龥鑰龠籲禴
土,キョウ,100,1.656,墝刧嘵垬垧
土子老,キョウ,100,1.656,宯侾庨漖硣
土干并買,エキ,100,3.125,歝睪斁襗嶧
土干買,エキ,100,3.125,歝睪斁襗嶧
土并買,エキ,100,3.125,歝睪斁襗嶧
土广里,テン,100,9.091,纏鄽廛瀍躔
土月青,ショウ,100,1.417,清錆青菁精
土目貝,サン,100,0.735,攢贊攅欑讚
土老,キョウ,100,1.656,宯侾庨漖硣
土貝,サン,100,0.735,攢贊攅欑讚
土買,エキ,100,3.125,歝睪斁襗嶧
土赤,カク,100,2.39,爀嚇赫螫赩
土走,ショウ,100,0.826,箑徢婕倢睫
土里,テン,100,9.091,纏鄽廛瀍躔
土青,ショウ,100,1.417,清錆青菁精
圭揆錄,オウ,100,4.167,王凹往夭旺
圭揆預錄,オウ,100,4.167,王凹往夭旺
圭涇老,キョウ,100,1.656,皎狡蕎嶠校
圭老,キョウ,100,1.656,皎狡蕎嶠校
圭錄,オウ,100,4.167,王凹往夭旺
圭預錄,オウ,100,4.167,王凹往夭旺
士并豆,キ,100,1.871,嬉憘熹糦繥
士豆,キ,100,2.014,嬉憘熹糦繥
夕米舛,リン,100,13.559,僯橉粦粼嶙
夕舛,リン,100,13.559,僯橉粦粼嶙
大小揆日錡,リョウ,100,1.667,燎遼療僚寮
大小揆錡,リョウ,100,1.667,燎遼療僚寮
大小日,リョウ,100,1.667,憭暸撩尞嘹
大小日錡,リョウ,100,1.667,燎遼療僚寮
大小錡,リョウ,100,1.667,燎遼療僚寮
大幺爪,ケイ,100,23.077,嗘溪奚徯傒
大揆日錡,リョウ,100,1.667,燎遼療僚寮
大揆錡,リョウ,100,1.667,燎遼療僚寮
大日,シュン,50,10.638,偆媋春惷暙
大日,リョウ,50,1.667,憭暸撩尞嘹
大日艾預,ボ,100,9.804,墓慕募暮模
大日錡,リョウ,100,1.667,燎遼療僚寮
大日預,ボ,100,9.804,墓慕募暮模
大爪,ケイ,100,26.923,嗘溪奚徯傒
大犬,エン,100,4.545,橪懕檿擪猒
大目貝,サン,100,0.63,瓉攅讃賛儧
大艾,エイ,100,6.494,碤偀朠蘙渶
大艾預,ボ,100,9.804,墓慕募暮模
大貝,サン,100,0.63,瓉攅讃賛儧
大錡,リョウ,100,1.667,燎遼療僚寮
大預,ボ,100,9.804,墓慕募暮模
女目貝,エイ,100,6.494,瀴癭嬰蘡孾
女貝,エイ,100,6.494,瀴癭嬰蘡孾
子老,キョウ,100,2.318,教宯侾庨漖
宀,カン,100,1.508,唍寒俒垸倌
宀小目貝,ヒン,100,2.542,嬪蠙繽檳殯
宀小貝,ヒン,100,2.542,嬪蠙繽檳殯
宀目貝,ヒン,100,4.237,濵嬪蠙繽臏
宀穴預,ヨウ,100,4.237,溶窯窈容榕
宀貝,ヒン,100,4.237,濵嬪蠙繽臏
宀錄,カン,100,1.256,浣莞梡棺官
宀預,ヨウ,100,4.237,溶窯窈容榕
寸虫,セン,100,1.863,磚竱嫥槫甎
小幺糸,ソ,30.435,3.804,榡傃愫組塐
小幺糸,トウ,21.739,2.212,綂統縢漯籘
小幺糸,ケン,21.739,1.866,勬縣縑綣絢
小幺糸,コウ,26.087,1.535,絚緪縨絖絋
小幺糸買隹,ラ,100,6.077,蘿鑼羅儸攞
小幺糸隹,ラ,100,6.077,蘿鑼羅儸攞
小幺買隹,ラ,100,6.077,蘿鑼羅儸攞
小幺隹,ラ,100,6.077,蘿鑼羅儸攞
小揆日錡,リョウ,100,1.667,燎遼療僚寮
小揆錡,リョウ,100,1.667,燎遼療僚寮
小日,リョウ,100,2,憭暸晾撩尞
小日錡,リョウ,100,1.667,燎遼療僚寮
小目貝,ヒン,100,2.542,嬪蠙繽檳殯
小示西,ヒョウ,100,10.769,勡幖徱磦僄
小糸,ソ,30.435,3.804,榡傃愫組塐
小糸,トウ,21.739,2.212,綂統縢漯籘
小糸,ケン,21.739,1.866,勬縣縑綣絢
小糸,コウ,26.087,1.535,絚緪縨絖絋
小糸買隹,ラ,100,6.077,蘿鑼羅儸攞
小糸隹,ラ,100,6.077,蘿鑼羅儸攞
小西,ヒョウ,100,10.769,勡幖徱磦僄
小貝,ヒン,100,2.542,嬪蠙繽檳殯
小買隹,ラ,100,6.077,蘿鑼羅儸攞
小錡,リョウ,100,1.667,燎遼療僚寮
小隹,ラ,100,6.077,蘿鑼羅儸攞
尚月,ショウ,100,0.826,俏哨悄捎弰
尸廾戸,ヘン,100,2.703,扁褊偏徧惼
尸戸,ヘン,100,2.703,扁褊偏徧惼
山并豆,カイ,100,0.848,榿皚凒剴塏
山缶,ヨウ,100,4.237,窑媱傜猺暚
山豆,カイ,100,0.848,榿皚凒剴塏
山隹,サイ,100,3.896,皠鏙槯催磪
工并王羊,サ,100,9.722,槎搓縒瑳傞
工并羊,サ,100,9.722,槎搓縒瑳傞
工爪阡,イン,100,3.226,癮隱讔櫽檃
工王羊,サ,100,9.722,槎搓縒瑳傞
工羊,サ,100,9.722,槎搓縒瑳傞
工阡,イン,100,3.226,癮隱讔櫽檃
已,ホウ,100,12.195,包咆袍垉麭
巾攵,ヘイ,100,9.615,幣斃敝幤弊
干,カン,100,1.508,姧舘仠屽厈
干并買,エキ,100,3.125,歝睪斁襗嶧
干日,カン,100,1.256,悍捍旰旱娨
干買,エキ,100,3.125,歝睪斁襗嶧
并攵,ヘイ,100,9.615,幣斃撇敝弊
并木門,ラン,100,10.204,爤欗攔瓓籣
并王羊,サ,35,9.722,槎搓縒瑳傞
并王羊,ヨウ,40,6.78,漾羊劷徉垟
并王羊,セン,25,1.553,僐膳羶羴墡
并癶豆,トウ,100,2.212,凳櫈嬁墱磴
并羊,サ,35,9.722,槎搓縒瑳傞
并羊,ヨウ,40,6.78,漾羊劷徉垟
并羊,セン,25,1.553,僐膳羶羴墡
并豆,エン,12.821,4.545,灔豔艷豓灎
并豆,トウ,28.205,4.867,凳櫈嬁瞪墱
并豆,キ,41.026,2.302,嬉憘熹巇糦
并豆,カイ,17.949,0.848,榿皚凒剴塏
并豕込,スイ,100,20.588,邃遂燧穟襚
并買,エキ,100,3.125,歝睪斁襗嶧
并込,スイ,100,20.588,邃遂燧穟襚
并錡,リョウ,100,1.667,燎羚遼療寮
并門,ラン,100,10.204,爤欗攔瓓籣
幺爪,ケイ,100,23.077,嗘溪奚徯傒
幺玄,ケン,100,2.239,玆泫炫袨胘
幺糸,ソ,30.435,3.804,榡傃愫組塐
幺糸,トウ,21.739,2.212,綂統縢漯籘
幺糸,ケン,21.739,1.866,勬縣縑綣絢
幺糸,コウ,26.087,1.535,絚緪縨絖絋
幺糸買隹,ラ,100,6.077,蘿鑼羅儸攞
幺糸隹,ラ,100,6.077,蘿鑼羅儸攞
幺買隹,ラ,100,6.077,蘿鑼羅儸攞
幺邦,キョウ,100,1.656,嚮蠁郷曏薌
幺隹,ラ,100,6.077,蘿鑼羅儸攞
广木麻,マ,58.333,25,蔴麻嘛摩磨
广木麻,ビ,41.667,9.804,縻穈糜醿蘼
广比鹿,ロク,50,25,簏鹿轆漉麓
广比鹿,キン,50,3.571,攟麕攈麏麇
广田黄,コウ,100,2.302,壙懬懭礦廣
广里,テン,100,9.091,纏鄽廛瀍躔
广鹿,ロク,50,25,簏鹿轆漉麓
广鹿,キン,50,3.571,攟麕攈麏麇
广麻,マ,58.333,25,蔴麻嘛摩磨
广麻,ビ,41.667,9.804,縻穈糜醿蘼
广黄,コウ,100,2.302,壙懬懭礦廣
廖揆錡,リョウ,100,2,燎聊廖遼療
廖錡,リョウ,100,2,燎聊廖遼療
廴聿,ケン,100,2.612,建揵健徤犍
廾戸,ヘン,100,2.703,扁褊偏徧惼
廾氏齊,サイ,100,4.329,臍躋齊齎濟
廾革,キン,100,5,厪廑殣斳慬
廾齊,サイ,100,4.329,臍躋齊齎濟
廾龠,ヤク,100,0.951,龥鑰龠籲禴
弓虫,キョウ,100,1.656,嵹強蔃襁繦
彡,サン,100,0.63,彡嵾襂参傪
心,ソウ,100,13.158,忩怱傯悤偬
心虫,エ,100,10.909,惠潓繐蟪憓
心阡,イン,100,3.226,癮隱隠讔櫽
忙,キョウ,100,1.656,怳恟恊憍愜
恬箕錄,エン,54.545,5.455,轅猿苑爰袁
恬箕錄,シ,45.455,3.125,紙漬祗祉肢
恬錄,エン,54.545,5.455,轅猿苑爰袁
恬錄,シ,45.455,3.125,紙漬祗祉肢
戈韭,セン,100,1.863,籖籤孅殱纖
戸,ヘン,100,2.703,扁褊偏徧惼
扎,ヒョウ,50,2.564,摒抨掽抦拼
扎,カク,50,1.992,挄挌拡捁摑
揆日錡,リョウ,100,1.667,燎遼療僚寮
揆錄,オウ,100,4.167,王凹往夭旺
揆錡,リョウ,100,3,燎良聊廖遼
揆預錄,オウ,100,4.167,王凹往夭旺
攵,ヘイ,100,11.538,幣斃撇敝幤
斤,キン,100,3.571,劤忻伒听斤
斤車,サン,100,0.735,磛蔪斬蹔槧
日,シュン,16.364,19.149,侚偆畃媋餕
日,リョウ,12.727,2.333,憭暸晾撩昤
日,キョウ,10.909,1.987,昫曉暁挭亰
日,コウ,20,2.813,昊姮昂厚晃
日,カン,16.364,2.261,悍捍旰乹旱
日,ショウ,14.545,0.945,晌嘈戧嶒愓
日氏,コン,100,26.923,昏昬暋惛惽
日王白,オウ,100,4.861,喤楻偟媓瑝
日田,セン,100,2.174,嘽潬墠樿撣
日白,オウ,58.333,4.861,喤楻偟媓瑝
日白,カイ,41.667,0.606,湝墍喈嘅堦
日立音,アン,21.739,11.364,暗諳闇喑偣
日立音,キョウ,21.739,1.656,響獍鏡竸境
日立音,ショウ,56.522,1.535,嶂瘴障樟獐
日老,シャ,100,50,褚偖煮撦奲
日艾預,ボ,100,9.804,墓慕募暮模
日買,バン,100,14.286,曼幔謾墁槾
日錡,リョウ,100,1.667,燎遼療僚寮
日音,アン,21.739,11.364,暗諳闇喑偣
日音,キョウ,21.739,1.656,響獍鏡竸境
日音,ショウ,56.522,1.535,嶂瘴障樟獐
日預,ボ,100,9.804,墓慕募暮模
更錄,ホウ,100,12.195,峯報琺訪熢
更非,ハイ,100,10.714,徘裵輩裴俳
更預,フ,100,12.5,咐婦富負誣
月,ホウ,16.129,12.195,傰倗胮弸胞
月,ハイ,16.129,8.929,肧胈朏揹肺
月,キョウ,19.355,1.987,胸脋脇嗋脅
月,コウ,19.355,1.535,肛奛肎奟肴
月,ショウ,29.032,1.063,俏哨悄塍捎
月牛角,カイ,100,0.606,檞嶰澥獬薢
月立竜,ル,100,2.143,竉巃曨礱嚨
月竜,ル,100,2.143,竉巃曨礱嚨
月角,カイ,100,0.848,檞喟嶰葪澥
月門,カン,100,1.759,瞯憪蕑僩礀
月青,ショウ,100,1.417,清錆青菁精
月革,ハ,100,45.455,覇霸壩欛灞
木,シュ,11.111,18.367,枢柊樞袾捒
木,ジョウ,6.173,10.204,樤杖朾条揲
木,フ,6.173,10.417,麬柎桻枎枹
木,ソウ,8.642,18.421,枽臊嗓懆噪
木,タ,6.173,50,杕朶柁桗楕
木,キョウ,9.877,2.649,惵桱极栱梜
木,コウ,9.877,2.046,杠杭杲构栙
木,ショウ,16.049,1.535,橧麨僺杪梢
木田,カ,100,7.407,倮婐窠餜猓
木目貝頁,ライ,100,1.613,頼瀬懶癩籟
木目頁,ライ,100,1.613,頼瀬懶癩籟
木禾,リャク,50,25,厤秝嚦磿壢
木禾,カ,50,4.63,俰嵙盉稞禾
木覺那,サイ,100,2.165,寨採綵菜寀
木貝頁,ライ,100,1.613,頼瀬懶癩籟
木那,サイ,100,2.165,寨採綵菜寀
木門,ラン,100,12.245,爤欗攔瓓籣
木頁,ライ,100,1.613,頼瀬懶癩籟
木麻,マ,58.333,25,蔴麻嘛摩磨
木麻,ビ,41.667,9.804,縻穈糜醿蘼
杰無,ブ,100,5.376,嘸甒嫵墲廡
杰田魚,チョウ,10.638,12.5,鰈鰨鮉鯛鮿
杰田魚,シ,10.638,3.125,魳鰤鰣鯔鰦
杰田魚,イ,12.766,3.681,鮪鯷鮐鮧鰄
杰田魚,セン,17.021,2.484,鱔蘚鮮鱻鱄
杰田魚,カン,12.766,1.508,鯇鰀鰥鰔鱞
杰田魚,カイ,12.766,0.727,鮭薊鮠鱠魪
杰田魚,ショウ,23.404,1.299,鮏鱶鰷鮹鯧
杰里黒,ボク,45.455,25,纆濹默黙墨
杰里黒,アン,54.545,13.636,黶黯黤黬黭
杰隹,ショウ,100,1.535,撨焦譙嶕憔
杰魚,チョウ,10.638,12.5,鰈鰨鮉鯛鮿
杰魚,シ,10.638,3.125,魳鰤鰣鯔鰦
杰魚,イ,12.766,3.681,鮪鯷鮐鮧鰄
杰魚,セン,17.021,2.484,鱔蘚鮮鱻鱄
杰魚,カン,12.766,1.508,鯇鰀鰥鰔鱞
杰魚,カイ,12.766,0.727,鮭薊鮠鱠魪
杰魚,ショウ,23.404,1.299,鮏鱶鰷鮹鯧
杰鳥,チョウ,10.169,15,窵蔦鳥鵰隝
杰鳥,ウ,15.254,28.125,嗚歍烏鰞隖
杰鳥,オウ,13.559,5.556,鷹鴎鷗鴨鴬
杰鳥,シ,13.559,5,鴟鵄鴲鶿鷥
杰鳥,カク,11.864,2.789,鶴靎靏鶮鷇
杰鳥,キョウ,10.169,1.987,鴞鶊鵟鵊鷮
杰黒,ボク,45.455,25,纆濹默黙墨
杰黒,アン,54.545,13.636,黶黯黤黬黭
止足,キ,50,0.719,跪踦跽踑跂
止足,ショウ,50,0.59,蹌蹡躞蹤蹭
比,ヒ,53.846,16.279,屁妣仳悂坒
比,サン,46.154,0.63,毚儳欃劖攙
比白,カイ,100,0.727,揩湝偕喈堦
比鹿,ロク,50,25,簏鹿轆漉麓
比鹿,キン,50,3.571,攟麕攈麏麇
氏,コン,53.846,26.923,昏昬暋惛惽
氏,シ,46.154,3.75,帋袛坻氏扺
氏齊,サイ,100,4.762,臍躋齊齎濟
水隶,タイ,100,19.231,埭曃棣隶逮
汁,コ,8.475,100,湖汻沍洿滬
汁,トウ,15.254,3.982,溏淌涛淖濤
汁,セン,15.254,2.795,洗濳沾浅淺
汁,コウ,15.254,2.302,沆港淆洽浩
汁,カン,11.864,1.759,汍澣汗溓涵
涇老,キョウ,100,1.656,皎狡蕎嶠校
涇角預,ゴ,100,7.042,寤旿誤蜈悟
涇預,ゴ,50,7.042,寤旿誤蜈悟
涇預,オウ,50,3.472,瓮區嘔奧懊
火,タン,31.579,23.077,腅倓毯炭煅
火,エン,31.579,5.455,掞棪剡焔焱
火,キョウ,36.842,2.318,烘炯焸炛煚
火禾,シュウ,100,24,啾秋愀湫甃
無,ブ,100,5.376,嘸甒嫵墲廡
爪,ケイ,58.333,26.923,嗘溪奚徯傒
爪,ショウ,41.667,0.59,枛偁凈掙爯
爪缶,ヨウ,100,4.237,媱傜瑶猺暚
爪阡,イン,100,3.226,癮隱讔櫽檃
父,キョウ,45.455,1.656,挍恔佼姣洨
父,コウ,54.545,1.535,効交俲效傚
爿,ショウ,100,0.945,槳焋奨漿妝
爿艾,ショウ,100,0.59,蒋荘莊蔣糚
牛,ボウ,100,3.356,恈劺麰犛牻
牛角,カイ,100,1.212,檞蟹蠏嶰解
犬,エン,100,4.545,橪懕檿擪猒
玄,ケン,100,2.239,玆泫炫袨胘
王,キョウ,100,1.656,恇抂框珦珓
王白,オウ,100,6.25,喤楻偟媓凰
王羊,サ,35,9.722,槎搓縒瑳傞
王羊,ヨウ,40,6.78,漾羊劷徉垟
王羊,セン,25,1.553,僐膳羶羴墡
理,シ,100,3.75,賜師私飼駟
甘,カン,50,1.508,咁坩墈堪拑
甘,キ,50,0.863,朞棋剘旗棊
生,ショウ,100,0.708,煋夝殅狌泩
用,ホ,50,25,浦匍哺捕舗
用,フ,50,10.417,圃悑脯晡俌
田,リュウ,8.824,7.692,澑畄畱橊羀
田,ジョウ,8.824,12.245,嫐畼疉嬲畳
田,ヒ,8.824,13.953,腗裨俾卑畀
田,カ,11.765,7.407,倮婐窠餜猓
田,タン,10.294,26.923,匰単弾彈愽
田,チュウ,7.353,100,抽冑畴伷宙
田,キョウ,11.765,2.649,橿畊彊勰殭
田,セン,13.235,2.795,戦嘽潬墠樿
田,ショウ,10.294,0.826,畻剿窼敒噌
田皿虍,ル,100,2.143,獹籚瓐矑纑
田米,ハン,100,9.091,墦籓噃橎皤
田米釆,ハン,100,12.121,旛翻繙旙蟠
田虍,リョ,50,6.25,爈藘櫖勴臚
田虍,ル,50,2.143,獹籚瓐矑纑
田虫,セン,100,1.553,磚槫蝉甎摶
田釆,ハン,100,12.121,旛翻繙旙蟠
田雨,ライ,100,1.613,擂鐳靁檑礌
田預,リュウ,100,6.41,瘤留溜榴瑠
田鬼,キ,46.667,1.007,餽魌魕鬼媿
田鬼,カイ,53.333,0.97,塊隗傀瘣瑰
田魚,チョウ,10.638,12.5,鰈鰨鮉鯛鮿
田魚,シ,10.638,3.125,魳鰤鰣鯔鰦
田魚,イ,12.766,3.681,鮪鯷鮐鮧鰄
田魚,セン,17.021,2.484,鱔蘚鮮鱻鱄
田魚,カン,12.766,1.508,鯇鰀鰥鰔鱞
田魚,カイ,12.766,0.727,鮭薊鮠鱠魪
田魚,ショウ,23.404,1.299,鮏鱶鰷鮹鯧
田黄,オウ,40.909,6.25,熿鐄黄黌瀇
田黄,コウ,59.091,3.325,壙懬懭礦廣
痢,イ,38.462,3.067,移肄苡荑貽
痢,サン,61.538,0.84,珊散傘刪山
癶豆,トウ,100,2.212,凳櫈嬁墱磴
白,ハク,17.073,58.333,柏白皪佰洦
白,オウ,21.951,6.25,喤楻偟媓凰
白,キョウ,12.195,1.656,徼儌皢皦皛
白,コウ,29.268,3.069,惶皀皐皓煌
白,カイ,19.512,0.97,揩湝墍偕喈
皮,ヒ,100,11.628,彼皮被疲披
皿,コウ,100,1.279,嗑榼盍盒溘
皿虍,ル,100,2.143,獹籚瓐矑纑
皿錄,ビ,100,9.804,未尾媚渼楣
皿預,ボ,24.138,13.725,牡墓拇慕募
皿預,ビ,17.241,9.804,美眉微嵋梶
皿預,ブ,20.69,6.452,侮舞毋蕪无
皿預,ボウ,37.931,7.383,帽朦冒夢懋
皿預錄,ビ,100,9.804,未尾媚渼楣
目,ショ,30.435,41.176,伹咀怚沮坥
目,シン,34.783,4.103,眒槙真愖慎
目,ショウ,34.783,0.945,偗眨眹瞾睲
目艾貝,フン,100,6.25,僨饙憤濆豶
目虫貝,カイ,100,0.606,繢聵憒嘳蕢
目見,ケン,100,2.612,見哯悓晛峴
目貝,エイ,9.524,10.39,甖瀴贏癭嬰
目貝,シチ,5.952,25,礩貭質儨劕
目貝,イン,8.333,4.516,殞傊磒愪溳
目貝,ヒン,13.095,4.661,濵嬪蠙貧繽
目貝,キ,9.524,1.151,檱櫃樻貴瞶
目貝,サン,15.476,1.366,攢贊瓉攅欑
目貝頁,キョウ,25,1.987,廎囂熲頬頰
目貝頁,ライ,29.167,1.882,纇頼瀬懶癩
目貝頁,カン,25,1.508,灝頜顄顑顴
目貝頁,カイ,20.833,0.606,頦頮顪湏頯
目隹,ク,46.154,33.333,懼癯臞瞿衢
目隹,カク,53.846,2.789,貜钁攫躩蠼
目頁,キョウ,25,1.987,廎囂熲頬頰
目頁,ライ,29.167,1.882,纇頼瀬懶癩
目頁,カン,25,1.508,灝頜顄顑顴
目頁,カイ,20.833,0.606,頦頮顪湏頯
矢,コウ,100,1.279,喉猴候矦侯
石,コウ,100,1.279,砿硬硄硡矼
示西,ヒョウ,100,10.769,勡幖徱磦僄
禾,シュウ,30.769,32,啾秋穐龝愀
禾,リャク,19.231,25,厤秝嚦磿壢
禾,カ,19.231,4.63,俰嵙盉稞禾
禾,ショウ,30.769,0.945,乗稱秤稍穪
禾預,リ,100,9.259,犁唎利悧痢
穴預,ヨウ,100,4.237,溶窯窈容榕
立,ホウ,38.462,12.195,棓牓徬旁磅
立,ショウ,61.538,0.945,接椄竦墇慞
立竜,ル,100,2.143,竉巃曨礱嚨
立辛,ヘン,100,2.703,瓣辮辧辯辡
立里,シュ,100,10.204,徸橦穜罿蹱
立音,アン,21.739,11.364,暗諳闇喑偣
立音,キョウ,21.739,1.656,響獍鏡竸境
立音,ショウ,56.522,1.535,嶂瘴障樟獐
竜,ル,100,2.143,竉巃曨礱嚨
竹,ハイ,11.364,8.929,箆篦箄篺笩
竹,シ,11.364,3.125,竾笶簛笥笫
竹,トウ,11.364,2.212,撘筒篖簹籐
竹,サク,13.636,2.62,擌筲筰笧簎
竹,キョウ,11.364,1.656,篋笣筺筴簥
竹,セン,18.182,2.484,笘箭簽櫤筌
竹,ショウ,11.364,0.59,筝笑筱箵篂
竹,サン,11.364,0.525,笇篹篸簨筭
箕錄,エン,37.5,5.455,轅猿苑爰袁
箕錄,シ,31.25,3.125,紙漬祗祉肢
箕錄,カン,31.25,1.256,煖敢莞鑑龕
米,キク,33.333,50,椈麴匊粷婅
米,ハン,33.333,9.091,墦籓噃橎皤
米,シ,33.333,3.75,歯齒粢宩籽
米舛,リン,100,13.559,僯橉粦粼嶙
米釆,ハン,100,12.121,旛翻繙旙蟠
糸,ソ,30.435,3.804,榡傃愫組塐
糸,トウ,21.739,2.212,綂統縢漯籘
糸,ケン,21.739,1.866,勬縣縑綣絢
糸,コウ,26.087,1.535,絚緪縨絖絋
糸買隹,ラ,100,6.077,蘿鑼羅儸攞
糸隹,ラ,100,6.077,蘿鑼羅儸攞
緊錡,ウ,100,21.875,盂羽玗釪迂
緊預,ヨウ,100,4.237,癰燿杳謠曜
